Species,N_1_start,N_1_end,M_1_start,M_1_end,T_1_start,T_1_end,B_start,B_end,T_2_start,T_2_end,M_2_start,M_2_end,N_2_start,N_2_end
Canada Goose,1/1/16,2/23/16,NA,NA,2/24/16,5/7/16,5/8/16,8/23/16,8/24/16,9/7/16,9/8/16,11/30/16,12/1/16,12/31/16
Mute Swan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wood Duck,1/1/16,2/29/16,NA,NA,3/1/16,4/30/16,5/1/16,8/14/16,8/15/16,9/7/16,9/8/16,11/14/16,11/15/16,12/31/16
Gadwall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Black Duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mallard,1/1/16,1/31/16,2/1/16,3/14/16,3/15/16,4/30/16,5/1/16,8/14/16,8/15/16,9/14/16,9/15/16,11/30/16,12/1/16,12/31/16
Blue-winged Teal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hooded Merganser,1/1/16,1/14/16,1/15/16,2/29/16,3/1/16,4/30/16,5/1/16,8/31/16,9/1/16,9/30/16,10/1/16,11/7/16,11/8/16,12/31/16
Common Merganser,1/1/16,1/14/16,1/15/16,2/29/16,3/1/16,4/30/16,5/1/16,8/31/16,9/1/16,9/30/16,10/1/16,11/7/16,11/8/16,12/31/16
Northern Bobwhite,1/1/16,4/23/16,NA,NA,NA,NA,4/24/16,10/23/16,NA,NA,NA,NA,10/24/16,12/31/16
Ruffed Grouse,1/1/16,3/31/16,NA,NA,NA,NA,4/1/16,9/7/16,NA,NA,NA,NA,9/8/16,12/31/16
Wild Turkey,1/1/16,4/14/16,NA,NA,NA,NA,4/15/16,9/30/16,NA,NA,NA,NA,10/1/16,12/31/16
