Species,H,S,S7,P,T,C,N,A,B,CN,NB,PE,DD,UN,FL,ON,CF,FY,FS,NE,NY,,,
Canada Goose,,X,X,X,,,,,X,,,X,X,,,,,X,X,,X,,Key:,
Mute Swan,,X,X,X,,,,,X,,,X,X,R,,,,X,X,,X,,X,Primary flag; highly unlikely species-code combination
Wood Duck,,X,X,,,,,,X,X,,X,R,,,,,X,X,,X,,R,Secondary flag; rare for species-code combination to occur
Gadwall,,X,X,,,R,R,R,X,,,X,R,R,,,,X,X,R,X,,,
American Black Duck*,,X,X,,,R,R,R,X,,,X,R,R,,,,X,X,R,X,,*,"Species reports should be flagged, regardless of breeding code used."
Mallard,,X,X,,,,,,X,,,X,R,R,,,,X,X,,X,,,
Blue-winged Teal,,X,X,,,R,R,R,X,,,X,R,R,,,,X,X,R,X,,,
Hooded Merganser*,,X,X,,,,,,X,,,X,R,R,,,,X,X,,X,,,
Common Merganser*,,X,X,,,,,,X,,,X,R,R,,,,X,X,R,X,,,
Northern Bobwhite*,,,,,,R,R,R,X,,,X,,R,,,,X,X,R,X,,,
Ruffed Grouse,,X,X,R,,,,,X,,,X,,R,,,,X,X,,X,,,
Wild Turkey,,,,R,,,,,X,,,X,R,R,,,,X,X,,X,,,
Pied-billed Grebe,,,,,,R,R,R,X,,,X,R,R,,,,,X,R,X,,,
Double-crested Cormorant,,X,X,X,,,,,X,,,X,R,R,,,,,X,,,,,
Brown Pelican,,X,X,X,,,,,X,,,X,R,R,,,,,X,,,,,
American Bittern*,,,,X,R,R,R,R,X,,,X,R,R,,,,R,X,R,X,,,
Least Bittern,,,,,R,R,R,R,X,,,X,R,R,,,,R,X,,X,,,
Great Blue Heron,,X,X,X,X,,,,X,,,X,R,R,,,,,X,,,,,
Great Egret,,X,X,X,X,,,,X,,,X,R,R,,,,,X,,,,,
Snowy Egret,,X,X,X,X,,,,X,,,X,R,R,,,,,X,,,,,
Tricolored Heron,,X,X,X,X,,,,X,,,X,R,R,,,,,X,,,,,
Little Blue Heron,,X,X,X,X,,,,X,,,X,R,R,,,,,X,,,,,
Cattle Egret,,X,X,X,X,,,,X,,,X,R,R,,,,,X,,,,,
Green Heron,,,,X,,,,,X,,,X,R,R,,,,,X,,,,,
Black-crowned Night-Heron,,X,X,X,R,,,,X,,,X,R,R,,,,,X,,,,,
Yellow-crowned Night-Heron,,X,X,X,R,,,,X,,,X,R,R,,,,,X,,,,,
White Ibis,,X,X,X,X,,,,X,,,X,R,R,,,,,X,,,,,
Glossy Ibis,,X,X,X,X,,,,X,,,X,R,R,,,,,X,,,,,
Black Vulture,,X,X,X,X,,,,X,R,,X,R,R,,,R,R,X,,X,,,
Turkey Vulture,,X,X,X,X,,,,X,R,,X,R,R,,,R,R,X,,X,,,
Osprey,,X,X,X,,,,,X,,,X,R,R,,,R,,X,,,,,
Mississippi Kite*,,X,X,X,,,,,X,,,X,R,R,,,R,,X,X,,,,
Bald Eagle,,X,X,?,,,,,X,,,X,R,R,,,R,,X,,,,,
Northern Harrier*,,X,X,,,,,,X,,,X,R,R,,,R,,X,R,,,,
Sharp-shinned Hawk,,X,X,,,,,,X,,,X,R,R,,,R,,X,,,,,
Cooper's Hawk,,X,X,,,,,,X,,,X,R,R,,,R,,X,,,,,
Red-shouldered Hawk,,X,X,,,,,,X,,,X,R,R,,,R,,X,,,,,
Broad-winged Hawk,,X,X,,,,,,X,,,X,R,R,,,R,,X,,,,,
Red-tailed Hawk,,X,X,,,,,,X,,,X,R,R,,,R,,X,,,,,
Golden Eagle*,,X,X,,,R,R,R,X,,,X,X,R,,,R,R,X,X,X,,,
Black Rail*,,,,X,,R,R,R,X,,,X,X,R,,,,R,X,X,X,,,
Clapper Rail,,,,X,,R,R,R,X,,,X,R,R,,,,R,X,,X,,,
King Rail*,,,,X,,R,R,R,X,,,X,R,R,,,,R,X,X,X,,,
Virginia Rail,,,,X,,R,R,R,X,,,X,R,R,,,,R,X,,X,,,
Sora,,,,X,,R,R,R,X,,,X,R,R,,,,R,X,,X,,,
Common Gallinule*,,X,X,X,,,,,X,,,X,X,R,,,,R,X,X,X,,,
American Coot,,X,X,X,,,,,X,,,X,X,R,,,,,X,,X,,,
Black-necked Stilt,,X,X,X,,,,,X,,,X,R,R,,,,X,X,,X,,,
American Avocet,,X,X,X,,,,,X,,,X,R,R,,,,X,X,,X,,,
American Oystercatcher,,X,X,X,,,,,X,,,X,R,R,,,,X,X,,X,,,
Wilson's Plover,,X,X,X,,,,,X,,,X,,R,,,,X,X,,X,,,
Piping Plover,,X,X,X,,,,,X,,,X,,R,,,,X,X,,X,,,
Killdeer,,X,X,X,,,,,X,,,X,,R,,,,X,X,,X,,,
Spotted Sandpiper*,,X,X,X,,,,,X,,,X,,R,,,,X,X,X,X,,,
Willet,,X,X,X,,,,,X,,,X,R,R,,,,X,X,,X,,,
Upland Sandpiper*,,X,X,X,,R,R,R,X,,,X,R,R,,,,X,X,X,X,,,
American Woodcock,,,,X,,R,R,R,X,,,X,R,R,,,,,X,,R,,,
Laughing Gull,,X,X,X,,,,,X,,,X,R,R,,,X,,X,,X,,,
Herring Gull,,X,X,X,,,,,X,,,X,R,R,,,X,,X,,X,,,
Greater Black-backed Gull,,X,X,X,,,,,X,,,X,R,R,,,X,,X,,X,,,
Least Tern,,X,X,X,,,,,X,,,X,R,R,,,X,,X,,X,,,
